English,Polish
the,.
I,I
to,Do
and,I
a,A
of,z
was,był
he,On
you,Ty
it,To
in,W
her,jej
she,ona
that,To
my,Mój
his,jego
me,Ja
on,NA
with,z
at,Na
as,Jak
had,miał
for,Do
but,Ale
him,jego
said,powiedział
be,Być
up,w górę
out,na zewnątrz
look,Patrzeć
so,Więc
have,Posiadać
what,Co
not,nie
just,Tylko
like,tak jak
go,Iść
they,Oni
is,Jest
this,Ten
from,z
all,Wszystko
we,My
were,był
back,z powrotem
do,Do
one,jeden
about,o
know,wiedzieć
if,Jeśli
when,Kiedy
get,Dostawać
then,Następnie
into,do
would,zrobiłbym
no,NIE
there,Tam
I'm,Jestem
could,mógł
don't,nie
ask,zapytać
down,w dół
time,czas
didn't,nie
want,chcieć
eye,oko
them,ich
over,nad
your,twój
are,Czy
or,Lub
been,został
now,Teraz
an,jakiś
by,przez
think,myśleć
see,Widzieć
hand,ręka
it's,jego
say,mowić
how,Jak
around,wokół
head,głowa
did,zrobił
well,Dobrze
before,zanim
off,wyłączony
who,Kto
more,więcej
even,nawet
turn,zakręt
come,przychodzić
smile,uśmiech
way,sposób
really,Naprawdę
can,Móc
face,twarz
other,Inny
some,Niektóre
right,Prawidłowy
their,ich
only,tylko
walk,chodzić
make,robić
got,dostał
try,próbować
something,coś
room,pokój
again,Ponownie
thing,rzecz
after,Po
still,Nadal
thought,myśl
door,drzwi
here,Tutaj
too,zbyt
little,mały
because,ponieważ
why,Dlaczego
away,z dala
let,pozwalać
take,Brać
two,dwa
start,początek
good,Dobry
where,Gdzie
never,nigdy
through,Poprzez
day,dzień
much,dużo
tell,powiedzieć
wasn't,nie było
girl,dziewczyna
feel,czuć
oh,Oh
you're,Jesteś
call,dzwonić
talk,rozmawiać
will,będzie
long,długi
than,niż
us,nas
made,zrobiony
friend,przyjaciel
knew,Wiedziałem
open,otwarty
need,potrzebować
first,Pierwszy
which,Który
people,ludzie
that's,jest to
went,wszedł 
sure,Jasne
seem,wydaje się
stop,zatrzymywać się
voice,głos
very,bardzo
felt,filc
took,wziął
our,nasz
pull,ciągnąć
laugh,śmiech
man,Człowiek
okay,Dobra
close,zamknąć
any,każdy
came,wszedł
told,powiedział
love,Miłość
watch,oglądać
arm,ramię
anything,wszystko
I'll,Chory
though,chociaż
put,umieścić
left,lewy
work,praca
guy,facet
hair,włosy
next,Następny
couldn't,nie mogłem
yeah,Tak
while,chwila
mean,mieć na myśli
home,dom
few,kilka
saw,piła
place,miejsce
school,szkoła
help,pomoc
wait,Czekać
late,późno
year,rok
can't,żargon
house,dom
happen,zdarzyć
last,ostatni
always,zawsze
move,przenosić
old,stary
night,noc
nod,ukłon
life,życie
give,dawać
sit,siedzieć
stare,gapić się
sat,Sat
should,powinien
moment,za chwilę
another,inny
behind,za
side,strona
sound,dźwięk
once,raz
find,znajdować
toward,w kierunku
boy,chłopak
ever,kiedykolwiek
nothing,Nic
front,przód
mother,matka
name,nazwa
am,jestem  
since,od
reply,odpowiedź
he's,On jest
myself,ja
leave,Zostawić
bed,łóżko
new,nowy
car,samochód
use,używać
mind,umysł
maybe,Może
has,ma
heard,usłyszał
answer,odpowiedź
minute,minuta
yes,Tak
until,dopóki
both,Zarówno
found,znaleziony
end,koniec
small,mały
I'd,ID
word,słowo
someone,ktoś
same,To samo
enough,wystarczająco 
began,rozpoczął się
run,uruchomić
bit,fragment
sigh,westchnienie
each,każdy
those,te
almost,prawie
against,przeciwko
everything,wszystko
most,bardzo
thank,dziękować
wouldn't,nie
mom,mama
better,lepsza
play,grać
I've,Ja
own,własny
every,każdy
hard,twardy
remember,Pamiętać
three,trzy
stood,stał
live,na żywo
stand,podstawka
second,drugi
sorry,Przepraszam
keep,trzymać
finally,Wreszcie
point,punkt
gave,dał
already,już
actually,Właściwie
probably,prawdopodobnie
himself,samego siebie
big,duży
everyone,wszyscy
guess,zgadywać
lot,działka
step,krok
hey,Hej
hear,słyszeć
light,światło
quickly,szybko
dad,tata
kiss,pocałunek
black,czarny
pick,wybierać
else,w przeciwnym razie
soon,Wkrótce
shoulder,ramię
table,tabela
best,"to, co najlepsze"
without,bez
notice,ogłoszenie
stay,zostawać
care,opieka
phone,telefon
reach,zasięg
realize,realizować
follow,podążać
decide,decydować
kind,Uprzejmy
she's,Ona jest
grab,złapać
he'd,On był
show,pokazywać
inside,wewnątrz
suddenly,Nagle
father,ojciec
rest,odpoczynek
herself,się
grin,szeroki uśmiech
hour,godzina
hope,mieć nadzieję
also,Również
body,ciało
might,móc
hadn't,nie
floor,podłoga
its,jego
continue,Kontynuować
ran,biegł
across,przez
hold,trzymać
cry,płakać
half,połowa
pretty,ładny
great,Świetnie
course,kurs
mouth,usta
class,klasa
kid,dziecko
miss,chybić
wonder,zastanawiać się
morning,Poranek
least,najmniej
nice,Ładny
dark,ciemny
slowly,powoli
done,zrobione
change,zmiana
doesn't,nie
together,razem
yet,już
question,pytanie
anyway,W każdym razie
bad,zły
blue,niebieski
believe,uważać
week,tydzień
God,Bóg
lip,warga
Mr.,Pan.
sleep,spać
fine,Cienki
what's,Co jest
family,rodzina
many,wiele
worry,martwić się
roll,rolka
parent,rodzic
under,pod 
surprise,niespodzianka
water,woda
onto,na
we're,był
glance,zerknąć
wall,ściana
between,między
seen,widziany
read,Czytać
window,okno
idea,pomysł
white,biały
push,naciskać
feet,stopy
must,musieć
such,taki
seat,siedziba
set,ustawić
please,Proszę
red,czerwony
brother,brat
these,te
whole,cały
lean,pochylać się
part,część
person,osoba
slightly,nieznacznie
pass,przechodzić
shook,Shoul
fact,fakt
wrong,zło
gone,stracony
far,daleko
hit,uderzyć
finger,palec
quite,całkiem
hate,nienawidzić
meet,poznać
finish,skończyć
heart,serce
book,książka
past,przeszłość
kill,zabić
reason,powód
anyone,ktokolwiek
figure,postać
top,szczyt
along,przed siebie
world,świat
she'd,szopa
high,wysoki
shirt,koszula
does,robi
today,Dzisiaj
young,młody
held,trzymany
outside,poza
listen,Słuchać
whisper,szept
won't,przyzwyczajenie
happy,szczęśliwy
ground,grunt
deep,głęboko
drop,upuszczać
shrug,wzruszać ramionami
dress,sukienka
fell,ściąć
there's,jest
yell,krzyk
breath,oddech
air,powietrze
tear,łza
sister,siostra
chair,krzesło
